***** PinPoints: START  ***** Tue 10 Feb 14:40:42 CET 2015
PROGRAM.INPUT namd.
SLICE_SIZE=250000000
CUTOFF=.99
Running /home/runar/workspace/master//benchmark/spec2006/benchspec/CPU2006//444.namd/run/run_base_ref_gcc44-64bit.0000/namd_base.gcc44-64bit --input /home/runar/workspace/master//benchmark/spec2006/benchspec/CPU2006//444.namd/run/run_base_ref_gcc44-64bit.0000/namd.input --iterations 38 --output namd.out in /home/runar/workspace/master//benchmark/spec2006/benchspec/CPU2006//444.namd/run/run_base_ref_gcc44-64bit.0000
PIN_PREFIX=
*** TEST RUN - 38 ITERATIONS ***
writing to output file namd.out
iteration 7: 1 0 0
iteration 7: 1 1 0
iteration 7: 1 1 1
iteration 7: 0 0 0
iteration 7: 0 1 0
iteration 7: 0 1 1
iteration 8: 1 0 0
iteration 8: 1 1 0
iteration 8: 1 1 1
iteration 8: 0 0 0
iteration 8: 0 1 0
iteration 8: 0 1 1
iteration 9: 1 0 0
iteration 9: 1 1 0
iteration 9: 1 1 1
iteration 9: 0 0 0
iteration 9: 0 1 0
iteration 9: 0 1 1
iteration 10: 1 0 0
iteration 10: 1 1 0
iteration 10: 1 1 1
iteration 10: 0 0 0
iteration 10: 0 1 0
iteration 10: 0 1 1
iteration 11: 1 0 0
iteration 11: 1 1 0
iteration 11: 1 1 1
iteration 11: 0 0 0
iteration 11: 0 1 0
iteration 11: 0 1 1
iteration 12: 1 0 0
iteration 12: 1 1 0
iteration 12: 1 1 1
iteration 12: 0 0 0
iteration 12: 0 1 0
iteration 12: 0 1 1
iteration 13: 1 0 0
iteration 13: 1 1 0
iteration 13: 1 1 1
iteration 13: 0 0 0
iteration 13: 0 1 0
iteration 13: 0 1 1
iteration 14: 1 0 0
iteration 14: 1 1 0
iteration 14: 1 1 1
iteration 14: 0 0 0
iteration 14: 0 1 0
iteration 14: 0 1 1
iteration 15: 1 0 0
iteration 15: 1 1 0
iteration 15: 1 1 1
iteration 15: 0 0 0
iteration 15: 0 1 0
iteration 15: 0 1 1
iteration 16: 1 0 0
iteration 16: 1 1 0
iteration 16: 1 1 1
iteration 16: 0 0 0
iteration 16: 0 1 0
iteration 16: 0 1 1
iteration 17: 1 0 0
iteration 17: 1 1 0
iteration 17: 1 1 1
iteration 17: 0 0 0
iteration 17: 0 1 0
iteration 17: 0 1 1
iteration 18: 1 0 0
iteration 18: 1 1 0
iteration 18: 1 1 1
iteration 18: 0 0 0
iteration 18: 0 1 0
iteration 18: 0 1 1
iteration 19: 1 0 0
iteration 19: 1 1 0
iteration 19: 1 1 1
iteration 19: 0 0 0
iteration 19: 0 1 0
iteration 19: 0 1 1
iteration 20: 1 0 0
iteration 20: 1 1 0
iteration 20: 1 1 1
iteration 20: 0 0 0
iteration 20: 0 1 0
iteration 20: 0 1 1
iteration 21: 1 0 0
iteration 21: 1 1 0
iteration 21: 1 1 1
iteration 21: 0 0 0
iteration 21: 0 1 0
iteration 21: 0 1 1
iteration 22: 1 0 0
iteration 22: 1 1 0
iteration 22: 1 1 1
iteration 22: 0 0 0
iteration 22: 0 1 0
iteration 22: 0 1 1
iteration 23: 1 0 0
iteration 23: 1 1 0
iteration 23: 1 1 1
iteration 23: 0 0 0
iteration 23: 0 1 0
iteration 23: 0 1 1
iteration 24: 1 0 0
iteration 24: 1 1 0
iteration 24: 1 1 1
iteration 24: 0 0 0
iteration 24: 0 1 0
iteration 24: 0 1 1
iteration 25: 1 0 0
iteration 25: 1 1 0
iteration 25: 1 1 1
iteration 25: 0 0 0
iteration 25: 0 1 0
iteration 25: 0 1 1
iteration 26: 1 0 0
iteration 26: 1 1 0
iteration 26: 1 1 1
iteration 26: 0 0 0
iteration 26: 0 1 0
iteration 26: 0 1 1
iteration 27: 1 0 0
iteration 27: 1 1 0
iteration 27: 1 1 1
iteration 27: 0 0 0
iteration 27: 0 1 0
iteration 27: 0 1 1
iteration 28: 1 0 0
iteration 28: 1 1 0
iteration 28: 1 1 1
iteration 28: 0 0 0
iteration 28: 0 1 0
iteration 28: 0 1 1
iteration 29: 1 0 0
iteration 29: 1 1 0
iteration 29: 1 1 1
iteration 29: 0 0 0
iteration 29: 0 1 0
iteration 29: 0 1 1
iteration 30: 1 0 0
iteration 30: 1 1 0
iteration 30: 1 1 1
iteration 30: 0 0 0
iteration 30: 0 1 0
iteration 30: 0 1 1
iteration 31: 1 0 0
iteration 31: 1 1 0
iteration 31: 1 1 1
iteration 31: 0 0 0
iteration 31: 0 1 0
iteration 31: 0 1 1
iteration 32: 1 0 0
iteration 32: 1 1 0
iteration 32: 1 1 1
iteration 32: 0 0 0
iteration 32: 0 1 0
iteration 32: 0 1 1
iteration 33: 1 0 0
iteration 33: 1 1 0
iteration 33: 1 1 1
iteration 33: 0 0 0
iteration 33: 0 1 0
iteration 33: 0 1 1
iteration 34: 1 0 0
iteration 34: 1 1 0
iteration 34: 1 1 1
iteration 34: 0 0 0
iteration 34: 0 1 0
iteration 34: 0 1 1
iteration 35: 1 0 0
iteration 35: 1 1 0
iteration 35: 1 1 1
iteration 35: 0 0 0
iteration 35: 0 1 0
iteration 35: 0 1 1
iteration 36: 1 0 0
iteration 36: 1 1 0
iteration 36: 1 1 1
iteration 36: 0 0 0
iteration 36: 0 1 0
iteration 36: 0 1 1
iteration 37: 1 0 0
iteration 37: 1 1 0
iteration 37: 1 1 1
iteration 37: 0 0 0
iteration 37: 0 1 0
iteration 37: 0 1 1
*** TEST RUN - 38 ITERATIONS ***
SUCCESSFUL COMPLETION
*** Checking controller output*** Tue 10 Feb 15:11:24 CET 2015
Pinpoint, Start, Actual_Start, %delta_start, Length, Actual_length, %delta_start
1, 1138250000000, 1138250101759, 0, 250000000, 250000055, 0
***** PinPoints: END  ***** Tue 10 Feb 15:11:24 CET 2015
